Coluna;Ano
Município;2021;2020;2019;2018;2017;2016;2015;2014;2013;2012;2011;2010;2009;2008;2007;2006;2005;2004;2003;2002;Total
Pa-Colares;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Conceicao do Araguaia;63;70;48;72;54;72;96;133;288;215;283;197;121;83;67;13;7;5;5;5;1897
Pa-Concordia do Para;20;26;5;18;2;3;4;10;0;0;0;0;0;0;0;2;1;0;1;21;113
Pa-Cumaru do Norte;6;0;0;0;0;2;2;0;0;0;0;0;0;0;0;0;0;0;0;0;10
Pa-Curionopolis;9;12;8;15;47;15;105;919;0;635;567;2;13;3;2;0;10;9;3;0;2374
Pa-Curralinho;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;0;0;0;0;3
Pa-Curua;0;0;0;9;9;3;1;0;0;0;47;0;0;0;0;0;0;0;0;0;69
Pa-Curuca;3;4;4;1;0;1;8;5;0;1;1;2;1;5;85;126;22;110;159;2;540
Pa-Dom Eliseu;46;25;24;36;107;69;66;41;36;26;42;30;35;13;8;20;5;6;4;6;645
Pa-Eldorado do Carajas;37;24;7;77;5;3;4;5;8;0;0;0;4;42;8;5;0;0;0;0;229
Pa-Faro;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Floresta do Araguaia;2;1;1;1;1;1;2;2;7;10;10;6;1;0;1;2;2;1;0;0;51
Pa-Garrafao do Norte;1;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3
Pa-Goianesia do Para;4;4;5;4;1;8;40;78;16;3;3;71;0;54;13;2;0;1;0;2;309
Pa-Gurupa;0;0;1;1;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4
Pa-Igarape-Acu;0;1;1;3;3;6;99;239;93;0;18;1;0;12;1;0;1;1;3;0;482
Pa-Igarape-Miri;7;9;18;3;3;4;8;4;7;5;5;19;37;0;0;0;0;6;0;0;135
Pa-Inhangapi;0;0;4;3;2;1;5;0;0;0;0;0;0;0;0;0;0;0;0;0;15
Pa-Ipixuna do Para;17;2;7;24;25;0;337;307;206;221;214;284;356;286;432;313;239;230;154;189;3843
Pa-Irituia;6;7;4;5;1;3;0;3;2;3;5;0;0;0;0;0;0;0;0;0;39
Pa-Itaituba;628;495;308;439;555;520;569;485;595;471;407;816;155;102;72;125;211;282;90;145;7470
Pa-Itupiranga;101;189;276;217;353;123;65;290;322;110;33;1;13;8;0;11;14;76;64;228;2494
Pa-Jacareacanga;11;3;16;4;492;7;9;1;18;14;24;37;0;0;0;0;0;0;0;0;636
Pa-Jacunda;54;11;21;21;16;21;75;248;286;44;84;17;9;20;19;0;0;5;0;0;951
Pa-Juruti;817;602;563;761;653;647;676;427;358;526;305;349;522;833;545;255;4;0;0;0;8843
Pa-Limoeiro do Ajuru;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
Pa-Mae do Rio;11;8;3;30;56;47;65;216;25;16;10;11;7;31;33;2;27;1;9;0;608
Pa-Magalhaes Barata;0;0;0;15;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;16
Pa-Maraba;6231;5763;4104;2475;3898;3128;3526;4237;7788;4663;5382;5394;4325;2003;2403;897;982;812;417;230;68658
Pa-Maracana;11;17;26;9;0;0;2;2;5;0;0;0;0;0;0;0;0;0;0;0;72
Pa-Marapanim;0;0;0;21;0;0;0;0;0;0;0;0;1;3;0;0;0;0;0;0;25
